Years,Pukwh,Populations,PowerConsume,PowerProduce
1981,915,38723248,35431772 ,44088303 
1982,963,39326352,37871277 ,47164003 
1983,1068,39910403,42624310 ,53036815 
1984,1164,40405956,47032533 ,58351643 
1985,1243,40805744,50721540 ,62667201 
1986,1367,41213674,56339092 ,69680596 
1987,1543,41621690,64222268 ,80251347 
1988,1771,42031247,74437338 ,93108847 
1989,1939,42449038,82308685 ,103623615 
1990,2202,42869283,94398161 ,118460795 
1991,2412,43295704,104429238 ,131616144 
1992,2639,43747962,115450872 ,146439284 
1993,2899,44194628,128120227 ,161900951 
1994,3297,44641540,147183157 ,183365532 
1995,3640,45092991,164138487 ,203546465 
1996,4006,45524681,182371872 ,225845719 
1997,4366,45953580,200633330 ,246587471 
1998,4167,46286503,192875858 ,237197406 
1999,4572,46616677,213131447 ,262152146 
2000,5067,47008111,238190098 ,290442948 
2001,5444,47370164,257883173 ,309885952 
2002,5845,47644736,278483482 ,332020947 
2003,6126,47892330,293388414 ,347756209 
2004,6491,48082519,312103631 ,368033552 
2005,6883,48184561,331654333 ,389479512 
2006,7191,48438292,348319758 ,402988943 
2007,7607,48683638,370336434 ,425407289 
2008,7922,49054708,388611397 ,442610958 
2009,8092,49307835,398999001 ,452447461 
2010,8883,49554112,440189177 ,495028363 
2011,9142,49936638,456520745 ,518167816 
2012,9331,50199853,468414828 ,531201866 
2013,9285,50428893,468232272 ,537169276 
2014,9305,50746659,472197662 ,540378799 
2015,9555,51014947,487447819 ,547801803 
2016,9699,51217803,496761471 ,560984590 
2017,9869,51361911,506890700 ,576412127 
2018,10195,51585058,525909666 ,592904629 
2019,10039,51764822,519667048 ,586806004 
2020,9826,51836239,509342884 ,577111901 
2021,10330,51769539,534779338 ,601938354 
2022,10652,51672569,550416205 ,624600113 
