Income,all,18~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~
total,19440535,55939,678993,1971394,2290708,2183133,2777224,2723271,3230304,2995558,534011
"800,000",1103375,7600,51752,83397,100366,112664,160946,163094,200454,197959,25143
"900,000",303312,2627,12625,16754,20277,23948,38112,43407,61599,69933,14030
"1,000,000",441450,1818,10909,16331,22408,31745,53656,62575,92410,112565,37033
"1,100,000",1569308,7195,40019,66356,101381,126572,190596,209992,299167,348306,179724
"1,200,000",389209,1774,10774,15730,22070,28785,47364,54358,80323,93622,34409
"1,300,000",346675,1633,10139,14280,19365,25020,41263,48830,71974,85601,28570
"1,400,000",221023,939,7127,11437,14988,18892,29623,33259,44670,48956,11132
"1,500,000",243528,991,9778,16636,17197,20181,31636,35680,48313,51503,11613
"1,600,000",260864,1169,10072,16974,19642,23182,35012,38009,50606,53126,13072
"1,700,000",242830,1000,8207,14551,16543,19774,31382,35268,49042,53034,14029
"1,800,000",254130,1204,9831,17667,18676,21336,32858,37223,50536,52732,12067
"1,900,000",451217,1712,22495,44088,40191,39945,60545,69994,85507,75860,10880
"2,000,000",523994,1516,28732,61259,50335,46477,66256,75308,94617,87704,11790
"2,100,000",964916,8100,93590,153086,108539,86085,112054,119836,142817,124257,16552
"2,200,000",613590,2921,52580,111455,74160,53607,68398,72930,88497,79160,9882
"2,300,000",566946,2211,40771,99978,70147,48872,60486,65448,83864,80636,14533
"2,400,000",560814,2031,40505,111137,79583,50889,58771,60514,75826,71598,9960
"2,500,000",483404,1234,27898,91448,73179,47624,52670,53685,67250,62292,6124
"2,600,000",530167,1858,32666,105108,85365,54820,57858,56071,68298,61860,6263
"2,700,000",424636,810,20201,80338,71077,45696,48185,45914,56135,51808,4472
"2,800,000",404106,830,18229,76376,69623,45211,45563,42407,52029,49237,4601
"2,900,000",416265,1059,16451,72822,73750,48774,49610,45279,54374,49813,4333
"3,000,000",394978,758,11730,61279,67346,46871,49936,46438,55894,51434,3292
"3,100,000",409200,665,14743,64173,73681,51517,53025,46565,53553,47357,3921
"3,200,000",307080,250,8060,47092,58577,41117,40788,35321,39180,34437,2258
"3,300,000",290890,251,7304,41285,54675,40359,40024,34116,37645,32965,2266
"3,400,000",304651,314,7441,41400,57195,42638,42014,35467,39154,34919,4109
"3,500,000",262596,516,5510,32185,48071,38201,38150,31934,34816,30604,2609
"3,600,000",271130,181,5835,34310,51314,40950,40651,33289,34212,28708,1680
"3,700,000",234554,85,3911,26501,42308,36022,36299,29943,31359,26677,1449
"3,800,000",218822,50,3821,25467,39642,34291,34781,27645,28363,23427,1335
"3,900,000",216208,57,3328,23052,38305,34053,35284,28406,28642,23751,1330
"4,000,000",207712,26,2788,20472,35152,32871,34578,27914,28697,23851,1363
"4,100,000",212817,56,3021,21040,35046,33577,36206,28701,29257,24356,1557
"4,200,000",184600,42,2356,18566,30311,29675,32169,25457,24880,20268,876
"4,300,000",170611,44,1856,15446,27095,27235,30108,23858,23788,20085,1096
"4,400,000",169708,78,2610,16270,26238,27361,29672,23524,23297,19433,1225
"4,500,000",163240,13,1540,14213,24373,25671,29075,23318,23796,19890,1351
"4,600,000",161032,30,1468,13073,24534,25678,30088,23441,23197,18652,871
"4,700,000",152764,26,1371,11107,21405,23236,28306,23408,23386,19555,964
"4,800,000",130972,12,1002,9408,19197,21223,25192,20010,19139,15283,506
"4,900,000",147810,26,1235,9788,20255,22918,27676,22788,22929,19120,1075
"5,000,000",129757,4,940,8481,17551,20138,24943,20762,20111,16240,587
"5,100,000",148672,24,1152,9033,18599,21856,27832,23740,24141,20387,1908
"5,200,000",105519,20,640,6751,14805,17263,21378,17095,15471,11713,383
"5,300,000",118111,13,737,6763,14721,17916,23057,19332,18609,15119,1844
"5,400,000",96315,13,726,6140,12789,15700,19936,16234,14002,10465,310
"5,500,000",98592,8,695,5932,12494,15432,20337,17141,15031,11027,495
"5,600,000",120753,26,815,6399,13277,17730,23189,20675,19904,15932,2806
"5,700,000",89577,7,544,4947,10697,14162,18489,16045,14127,10030,529
"5,800,000",83099,7,482,4563,10011,13081,17133,15099,13099,9366,258
"5,900,000",89531,9,467,4565,10154,13653,18585,16487,14571,10276,764
"6,000,000",2433475,96,5514,64485,192028,320639,475479,480037,517746,368669,8782
