연도,1인당 전력 소비량,인구수,전력 소비량,전력 생산량
1981,915,38723248," 35,431,772 ","44,088,303"
1982,963,39326352," 37,871,277 ","47,164,003"
1983,1068,39910403," 42,624,310 ","53,036,815"
1984,1164,40405956," 47,032,533 ","58,351,643"
1985,1243,40805744," 50,721,540 ","62,667,201"
1986,1367,41213674," 56,339,092 ","69,680,596"
1987,1543,41621690," 64,222,268 ","80,251,347"
1988,1771,42031247," 74,437,338 ","93,108,847"
1989,1939,42449038," 82,308,685 ","103,623,615"
1990,2202,42869283," 94,398,161 ","118,460,795"
1991,2412,43295704," 104,429,238 ","131,616,144"
1992,2639,43747962," 115,450,872 ","146,439,284"
1993,2899,44194628," 128,120,227 ","161,900,951"
1994,3297,44641540," 147,183,157 ","183,365,532"
1995,3640,45092991," 164,138,487 ","203,546,465"
1996,4006,45524681," 182,371,872 ","225,845,719"
1997,4366,45953580," 200,633,330 ","246,587,471"
1998,4167,46286503," 192,875,858 ","237,197,406"
1999,4572,46616677," 213,131,447 ","262,152,146"
2000,5067,47008111," 238,190,098 ","290,442,948"
2001,5444,47370164," 257,883,173 ","309,885,952"
2002,5845,47644736," 278,483,482 ","332,020,947"
2003,6126,47892330," 293,388,414 ","347,756,209"
2004,6491,48082519," 312,103,631 ","368,033,552"
2005,6883,48184561," 331,654,333 ","389,479,512"
2006,7191,48438292," 348,319,758 ","402,988,943"
2007,7607,48683638," 370,336,434 ","425,407,289"
2008,7922,49054708," 388,611,397 ","442,610,958"
2009,8092,49307835," 398,999,001 ","452,447,461"
2010,8883,49554112," 440,189,177 ","495,028,363"
2011,9142,49936638," 456,520,745 ","518,167,816"
2012,9331,50199853," 468,414,828 ","531,201,866"
2013,9285,50428893," 468,232,272 ","537,169,276"
2014,9305,50746659," 472,197,662 ","540,378,799"
2015,9555,51014947," 487,447,819 ","547,801,803"
2016,9699,51217803," 496,761,471 ","560,984,590"
2017,9869,51361911," 506,890,700 ","576,412,127"
2018,10195,51585058," 525,909,666 ","592,904,629"
2019,10039,51764822," 519,667,048 ","586,806,004"
2020,9826,51836239," 509,342,884 ","577,111,901"
2021,10330,51769539," 534,779,338 ","601,938,354"
2022,10652,51672569," 550,416,205 ","624,600,113"
,,,,
