Date,Inspected,Negative,Confirmed,Recovered,Deaths
2020-05-30,1352,1001,11468,2,0
2020-05-29,2097,1134,11441,2,0
2020-05-28,2598,1683,11402,3,0
2020-05-27,3110,2552,11344,3,0
2020-05-26,4325,3535,11265,4,0
2020-05-25,5624,4811,11225,7,0
2020-05-24,6511,5921,11206,7,0
2020-05-23,7242,6679,11190,7,0
2020-05-22,7734,7148,11165,9,0
2020-05-21,8161,7647,11142,9,0
2020-05-20,8718,7980,11122,10,0
2020-05-19,9772,8923,11110,12,0
2020-05-18,11173,9973,11078,16,0
2020-05-17,13202,11238,11065,16,1
2020-05-16,16400,13016,11050,17,1
2020-05-15,21586,15116,11037,18,2
2020-05-14,26179,17520,11018,18,5
2020-05-13,32756,20292,10991,22,7
2020-05-12,40304,25447,10962,22,10
2020-05-11,53553,31576,10936,24,12
2020-05-10,66652,39318,10909,26,13
2020-05-09,81167,48593,10874,27,13
2020-05-08,94055,55723,10840,28,17
2020-05-07,98921,61825,10822,30,18
2020-05-06,109591,71580,10810,31,22
2020-05-05,125851,85484,10806,34,28
2020-05-04,136707,102965,10804,41,32
2020-05-03,146541,118965,10801,88,35
2020-05-02,164740,136624,10793,108,42
2020-05-01,178189,151802,10780,118,44
2020-04-30,188518,162008,10774,130,50
2020-04-29,196618,171778,10765,166,51
2020-04-28,210144,184179,10761,247,54
2020-04-27,222395,196100,10752,288,60
2020-04-26,234998,209402,10738,333,66
2020-04-25,248647,222728,10728,510,67
2020-04-24,261335,235615,10718,714,72
2020-04-23,268212,243778,10708,834,75
2020-04-22,274504,251297,10702,1137,75
2020-04-21,286716,261105,10694,1401,81
2020-04-20,295647,270888,10683,1540,84
2020-04-19,307024,282555,10674,1947,91
2020-04-18,316664,292487,10661,2233,94
2020-04-17,327509,303006,10653,2612,102
2020-04-16,331780,308343,10635,2909,104
2020-04-15,338036,315447,10613,3166,111
2020-04-14,348582,324105,10591,3507,120
2020-04-13,357896,334481,10564,3730,126
2020-04-12,364942,341332,10537,4144,131
2020-04-11,376961,352410,10512,4528,139
2020-04-10,387925,361883,10480,4811,144
2020-04-09,394141,369530,10450,5033,152
2020-04-08,395194,372002,10423,5228,158
2020-04-07,410564,383886,10384,5408,162
2020-04-06,421547,395075,10331,5567,165
2020-04-05,431743,403882,10284,5828,169
2020-04-04,443273,414303,10237,6021,174
2020-04-03,455032,424732,10156,6325,177
2020-04-02,461233,431425,10062,6463,183
2020-04-01,466804,437225,9976,6598,186
2020-03-31,477304,446323,9887,6694,192
2020-03-30,486003,457761,9786,6776,200
2020-03-29,494711,468779,9661,6973,204
2020-03-28,503051,477303,9583,7117,208
2020-03-27,510479,485929,9478,7243,211
2020-03-26,514621,490321,9332,7368,214
2020-03-25,518743,494815,9241,7447,217
2020-03-24,527438,502223,9137,7534,222
2020-03-23,534552,508935,9037,7616,225
2020-03-22,538775,513894,8961,7757,229
2020-03-21,546463,521642,8897,7829,230
2020-03-20,554834,530631,8799,7937,232
2020-03-19,559109,536205,8652,8042,234
2020-03-18,563035,540380,8565,8114,236
2020-03-17,571014,547610,8413,8213,237
2020-03-16,577959,555144,8320,8277,238
2020-03-15,583971,563130,8236,8411,240
2020-03-14,589520,569212,8162,8501,240
2020-03-13,595161,575184,8086,8635,240
2020-03-12,598285,578558,7979,8717,242
2020-03-11,601660,582027,7869,8764,243
2020-03-10,608514,588559,7755,8854,244
2020-03-09,614197,595129,7513,8922,246
2020-03-08,619881,600482,7382,9059,247
2020-03-07,623069,603610,7134,9072,248
2020-03-06,627562,608286,6767,9123,250
2020-03-05,630973,611592,6284,9183,250
2020-03-04,633921,614944,5766,9217,252
2020-03-03,640237,620575,5328,9283,254
2020-03-02,643095,624280,4812,9333,255
2020-03-01,649388,630149,4212,9419,256
2020-02-29,654863,635174,3736,9484,256
2020-02-28,660030,640037,3150,9568,256
2020-02-27,663886,642884,2337,9610,256
2020-02-26,668492,646661,1766,9632,256
2020-02-25,680890,653624,1261,9670,258
2020-02-24,695920,665379,977,9695,259
2020-02-23,711484,679771,833,9762,260
2020-02-22,726747,695854,602,9821,260
2020-02-21,740645,711265,433,9851,262
2020-02-20,747653,718943,204,9888,262
2020-02-19,753211,726053,104,9904,263
2020-02-18,765574,737571,51,9938,263
2020-02-17,776433,748972,31,10066,263
2020-02-16,788684,759473,30,10135,264
2020-02-15,802418,770990,29,10162,264
2020-02-14,814420,781686,28,10194,266
2020-02-13,820289,788766,28,10213,266
2020-02-12,826437,796142,28,10226,267
2020-02-11,839475,806206,28,10275,269
2020-02-10,852876,820550,28,10295,269
2020-02-09,868666,834952,27,10340,269
2020-02-08,885120,849161,27,10363,269
2020-02-07,902901,865162,24,10398,269
2020-02-06,910822,876060,24,10405,270
